,molecule_chembl_id,units,IC50,smiles,pIC50
143,CHEMBL395593,nM,3000.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(F)cc4)cc3c21,5.522878745280337
144,CHEMBL248532,nM,2700.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccc(C(N)=O)c4)cc3c21,5.568636235841012
145,CHEMBL248333,nM,4400.0,CC(=O)Nc1cccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)c1,5.356547323513812
146,CHEMBL246699,nM,2700.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccc(Br)c4)cc3c21,5.568636235841012
147,CHEMBL246697,nM,1700.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccc(F)c4)cc3c21,5.769551078621726
148,CHEMBL246906,nM,3400.0,Cc1cccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)c1,5.468521082957745
149,CHEMBL403258,nM,3.0,O=C(Nc1nc(C(=O)NC2CCN(Cc3ccccc3)CC2)cs1)c1ccc2cc3n(c2c1)C1(CCC1)CNC3=O,8.522878745280337
150,CHEMBL429504,nM,5.0,CC1(C)CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(Cc6ccccc6)CC5)cs4)cc3n21,8.301029995663981
151,CHEMBL257834,nM,2.0,CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,8.698970004336019
152,CHEMBL403154,nM,2.0,CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)(C)CNC5=O)n2)CC1,8.698970004336019
153,CHEMBL258045,nM,2.0,CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,8.698970004336019
154,CHEMBL270148,nM,5.0,CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)(C)CNC5=O)n2)CC1,8.301029995663981
155,CHEMBL270150,nM,19.0,CC1(C)CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCCCC5)cs4)cc3n21,7.721246399047171
156,CHEMBL403286,nM,9.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(Cc6ccccc6)CC5)cs4)cc3n21,8.045757490560675
157,CHEMBL256194,nM,3.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(CC(C)(C)C)CC5)cs4)cc3n21,8.522878745280337
158,CHEMBL255991,nM,4.0,CC(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)CNC5=O)n2)CC1,8.397940008672037
159,CHEMBL256196,nM,7.0,CCN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)CNC5=O)n2)CC1,8.154901959985743
160,CHEMBL271863,nM,46.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NCC(C)(C)C)cs4)cc3n21,7.337242168318426
161,CHEMBL437033,nM,45.0,CC1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)CNC5=O)n2)CC1,7.346787486224656
162,CHEMBL272072,nM,12.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCOCC5)cs4)cc3n21,7.920818753952375
163,CHEMBL271309,nM,5.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(C)CC5)cs4)cc3n21,8.301029995663981
164,CHEMBL409727,nM,20.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCCCC5)cs4)cc3n21,7.698970004336019
165,CHEMBL255207,nM,2600.0,O=C(Nc1cccnc1)c1ccc2[nH]c3c(c2c1)CCNC3=O,5.585026652029182
166,CHEMBL404756,nM,1200.0,CC(=O)NCC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,5.920818753952375
167,CHEMBL271713,nM,310.0,CN(C)CC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,6.508638306165727
168,CHEMBL271714,nM,560.0,CCNCC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,6.251811972993799
169,CHEMBL409876,nM,690.0,CNCC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,6.161150909262744
170,CHEMBL410902,nM,530.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,6.275724130399211
171,CHEMBL403193,nM,52.0,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CC(CO)CNC3=O,7.2839966563652006
172,CHEMBL429922,nM,35.0,NCC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,7.455931955649724
173,CHEMBL272096,nM,320.0,CC1CNC(=O)c2cc3ccc(C(=O)Nc4cccnc4)cc3n2C1,6.494850021680094
174,CHEMBL272309,nM,29.0,NCC1CNC(=O)c2cc3ccc(C(=O)Nc4cccnc4)cc3n2C1,7.537602002101044
175,CHEMBL403436,nM,190.0,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCCNC3=O,6.721246399047171
176,CHEMBL255210,nM,270.0,O=C(Nc1cccnc1)c1ccc2cc3n(c2c1)CCCNC3=O,6.568636235841012
177,CHEMBL436652,nM,6900.0,CC(=O)NCC1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,5.161150909262744
178,CHEMBL272147,nM,4000.0,CCCNCC1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,5.3979400086720375
179,CHEMBL401748,nM,3000.0,CCNCC1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,5.522878745280337
